Date,Flow,Local,Mainland,Others
9/29/2021,Departure,3985,174,48
9/30/2021,Arrival,2600,276,61
9/30/2021,Departure,2252,130,49
10/1/2021,Arrival,3523,162,50
10/1/2021,Departure,3981,119,54
10/2/2021,Arrival,1475,227,59
10/2/2021,Departure,2400,156,36
10/3/2021,Arrival,3818,232,55
10/3/2021,Departure,3844,151,54
10/4/2021,Arrival,1351,181,50
10/4/2021,Departure,1593,133,31
10/5/2021,Arrival,1230,110,41
10/5/2021,Departure,1990,145,28
10/6/2021,Arrival,3237,151,49
10/6/2021,Departure,3923,147,45
10/7/2021,Arrival,1349,132,38
10/7/2021,Departure,1606,147,25
10/8/2021,Arrival,3097,170,56
10/8/2021,Departure,3974,173,62
10/9/2021,Arrival,1086,232,43
10/9/2021,Departure,1158,132,40
10/10/2021,Arrival,4297,279,77
10/10/2021,Departure,3226,54,50
10/11/2021,Arrival,1512,171,39
10/11/2021,Departure,2821,250,39
10/12/2021,Arrival,1319,219,32
10/12/2021,Departure,1759,227,25
10/13/2021,Arrival,2909,212,63
10/13/2021,Departure,2568,185,49
10/14/2021,Arrival,1617,233,75
10/14/2021,Departure,3395,76,42
10/15/2021,Arrival,3155,205,45
10/15/2021,Departure,4232,191,38
10/16/2021,Arrival,1926,211,56
10/16/2021,Departure,2242,188,34
10/17/2021,Arrival,6049,258,71
10/17/2021,Departure,5412,166,58
10/18/2021,Arrival,1521,191,52
10/18/2021,Departure,1576,123,29
10/19/2021,Arrival,1444,176,38
10/19/2021,Departure,1831,160,48
10/20/2021,Arrival,3549,193,70
10/20/2021,Departure,3755,152,46
10/21/2021,Arrival,2634,165,36
10/21/2021,Departure,1553,134,35
10/22/2021,Arrival,3570,185,52
10/22/2021,Departure,3476,152,29
10/23/2021,Arrival,1478,202,62
10/23/2021,Departure,1368,109,36
10/24/2021,Arrival,4059,262,71
10/24/2021,Departure,3344,131,73
10/25/2021,Arrival,1497,205,68
10/25/2021,Departure,1409,129,33
10/26/2021,Arrival,1454,212,49
10/26/2021,Departure,1736,172,49
10/27/2021,Arrival,3878,214,52
10/27/2021,Departure,3315,154,50
10/28/2021,Arrival,1448,152,50
10/28/2021,Departure,1353,117,37
10/29/2021,Arrival,3448,171,50
10/29/2021,Departure,3340,136,58
10/30/2021,Arrival,1669,191,49
10/30/2021,Departure,1399,114,45
10/31/2021,Arrival,3927,191,63
10/31/2021,Departure,3669,113,69
11/1/2021,Arrival,1575,159,67
11/1/2021,Departure,1686,131,39
11/2/2021,Arrival,1720,171,54
11/2/2021,Departure,2093,157,36
11/3/2021,Arrival,3862,233,54
11/3/2021,Departure,3362,211,52
11/4/2021,Arrival,1553,161,64
11/4/2021,Departure,1459,132,35
11/5/2021,Arrival,3395,261,79
11/5/2021,Departure,3590,178,68
11/6/2021,Arrival,1405,462,63
11/6/2021,Departure,1733,188,67
11/7/2021,Arrival,3795,275,69
11/7/2021,Departure,3209,133,48
11/8/2021,Arrival,1240,171,57
11/8/2021,Departure,1574,169,32
11/9/2021,Arrival,1522,182,55
11/9/2021,Departure,1793,162,44
11/10/2021,Arrival,3435,218,74
11/10/2021,Departure,3641,141,65
11/11/2021,Arrival,1585,207,49
11/11/2021,Departure,2566,171,32
11/12/2021,Arrival,3123,198,88
11/12/2021,Departure,3361,136,64
11/13/2021,Arrival,1107,246,54
11/13/2021,Departure,1703,149,42
11/14/2021,Arrival,5144,181,114
11/14/2021,Departure,4436,198,87
11/15/2021,Arrival,1637,168,74
11/15/2021,Departure,1707,447,38
11/16/2021,Arrival,1510,163,59
11/16/2021,Departure,2101,249,62
11/17/2021,Arrival,3237,157,112
11/17/2021,Departure,3313,170,69
11/18/2021,Arrival,2862,131,59
11/18/2021,Departure,2611,152,56
11/19/2021,Arrival,3057,162,62
11/19/2021,Departure,3300,153,59
11/20/2021,Arrival,1454,226,45
11/20/2021,Departure,1968,148,59
11/21/2021,Arrival,4790,181,62
11/21/2021,Departure,4370,142,58
11/22/2021,Arrival,1723,108,46
11/22/2021,Departure,1802,94,41
11/23/2021,Arrival,1659,152,51
11/23/2021,Departure,2162,160,58
11/24/2021,Arrival,3578,129,79
11/24/2021,Departure,3379,110,50
11/25/2021,Arrival,3228,168,67
11/25/2021,Departure,2853,101,61
11/26/2021,Arrival,3500,148,61
11/26/2021,Departure,3838,101,76
11/27/2021,Arrival,1468,176,56
11/27/2021,Departure,1743,112,70
11/28/2021,Arrival,5243,190,54
11/28/2021,Departure,5111,83,75
11/29/2021,Arrival,1286,137,33
11/29/2021,Departure,1239,83,26
11/30/2021,Arrival,1849,151,54
11/30/2021,Departure,1808,110,50
12/1/2021,Arrival,5750,190,184
12/1/2021,Departure,3813,159,76
12/2/2021,Arrival,1992,178,114
12/2/2021,Departure,1964,148,58
12/3/2021,Arrival,3132,223,98
12/3/2021,Departure,5863,162,69
12/4/2021,Arrival,1536,185,64
12/4/2021,Departure,2105,167,65
12/5/2021,Arrival,5799,213,104
12/5/2021,Departure,5269,222,61
12/6/2021,Arrival,1154,152,43
12/6/2021,Departure,1536,141,48
12/7/2021,Arrival,1444,123,59
12/7/2021,Departure,1949,117,51
12/8/2021,Arrival,2978,156,41
12/8/2021,Departure,3228,153,60
12/9/2021,Arrival,3034,156,54
12/9/2021,Departure,3445,114,70
12/10/2021,Arrival,3298,178,61
12/10/2021,Departure,4292,146,77
12/11/2021,Arrival,1599,175,39
12/11/2021,Departure,2375,149,55
12/12/2021,Arrival,4844,218,65
12/12/2021,Departure,5914,124,69
12/13/2021,Arrival,1416,148,35
12/13/2021,Departure,2038,141,41
12/14/2021,Arrival,1447,251,42
12/14/2021,Departure,2375,170,55
12/15/2021,Arrival,4468,225,64
12/15/2021,Departure,4205,210,99
